sentence,sentiment
"Kebanyakan Sekolah tidak menguji kecerdasan Anda, tapi menguji daya ingat Anda.",1
Mobil Ramah Lingkungan UMM Siap Tanding di Manila http://republika.co.id/r/nk7wil ,1
Risiko alergi kacang dapat berkurang jika mengonsumsi kacang sejak bayi. http://ngi.cc/n4N3 ,1
"Mobil putih ditaksir memiliki nilai jual 5% lebih tinggi dibandingkan mobil-mobil berwarna lainnya. [Konsultan mobil asal Inggris, CAP]",1
"Melihat pentingnya sarapan untuk kerja otak kita, sarapan menjadi penting bagi anak2 sekolah,pekerja,&mrk yg beraktivitas pagi hr #DDSehat",1
Tips Sehat Makan Fast Food Dengan Cara Sehat #JktHealth http://ow.ly/JIofc ,1
smga kak olga menang RT @fosel_globaltv: Berita Terheboh ;3C. @RaffiAhmadLagi 3D. @OlgaSyahputra82 sakit vote-> http://on.fb.me/1valrkx   #FSA,1
"Terima kasih donatur, kedermawan yang telah diberikan melalui RZ bantu kami utk melanjutkan sekolah #BerbagiSenyum ",1
"Trus gigi sempet ngomong pelan sambil senyum ""tuh diamah.."" Aa..jaga kesehatan yaa,semua sayang aa:* @RaffiAhmadLagi",1
Cantikmu mengalahkan semua ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina ? https://path.com/p/4tpzgW ,1
"Penyaluran Beasiswa untuk anak juara RZ Cilegon wilayah Cibeber, bantu biaya sekolah yatim dhuafa #BerbagiSenyum ",1
"mantav, ruangan bersih, ac dingin...cm kgak ada air panas..",1
"Tolak HAMAS, Langkah Pemerintah Dipuji PDIP http://bit.ly/1KwhWtq  Evercoss luncurkan smarphone dengan baterai ... http://bit.ly/1AZBQuK ",1
Terimakasih tadi datang sesi 3??aku pakai baju khas kebaya??gimana~??? ,1
"nyaman,murah,bsh,,,semuanya sdh oke,snack,air mineral,tv,air pnas,ac,perlengkpan mnd. tinggal ac yg krg dingin.",1
#InfoNdoroMoe Demokrat niai keputusan presiden beri kepastian http://bit.ly/17Z0dMC  #BlusukanDuniaMaya,1
Selamat pagi! Siap2 ke sekolah! Smg hari ini menyenangkan? Have a blessed day ya!,1
Selamat makan siang.. Semoga makanan kita menjadi berkah ya..,1
"pelayanannya ramah. tempat tidur nyaman, bersih , AC menyala air panas bisa di gunakan wifinya sangat kencang .. mungkin yang perlu diperbaiki bau saluran air di kamar mandi, tp langsung hilang baunya sejauh ini sangat memuaskan ... terimakasih",1
"Pulang kantor, nyampe rumah enaknya molor.... (at Pancuran Barat, Kota Cirebon) ? https://path.com/p/3ZKba0 ",1
Demokrat nilai Jokowi beri bukti bukan janji http://tinyurl.com/n73ony5 ,1
"Pasti Monoers udh ga asing lg sama lagu Sadis milik Afgan! Yap, tahun ini Afgan jg meramaikan Java Jazz 2015 http://www.m-indo.com/music/clipafgan-sadis/ ?",1
Syahrini Janji Akan Datang Jika Kembali Dipanggil Mabes Polri http://bit.ly/1LmlRqj  via @tribunnews,1
"Kalo km bener sayang sama seseorang, meskipun ada banyak alasan untuk pergi.kamu tetap akan menumukan satu alasan untuk bertahan. :')  ?",1
"Hay Maret  Wishnya yang baik"" aja deh ?? ? Yang Kutahu Cinta Itu Indah by Afgan (with Raditya) ? https://path.com/p/2owALH ",1
#berita Putra Pengusaha Luntungan Honoris Lolos ke DPR http://bit.ly/1Awxr1j   Tas He... http://bit.ly/1Lopq11 ,1
Pria Ini Perbaiki Mobil Hybrid dengan Harga Lebih Murah daripada Toyota? http://goo.gl/fb/uOnf5h  http://goo.gl/6U8KJn ,1
Yayaya jodoh pasti bertemu? ? Jodoh Pasti Bertemu by Afgan ? https://path.com/p/3EHb9L ,1
"hotel sudah tua, jadi karpet terkesan bau apek, tapi kelengkapan kamar baik, walaupun kami dapat kamar standar bukan kamar airy room, menu sarapan sangat baik.",1
Serious talk Afgan ni mmg handsome orangnya!,1
Mahkamah Partai Harus Adil dalam Menyelesaikan Konflik Golkar - Okezone http://dlvr.it/8fx1vz ,1
"Perbuatan baik apa yang sudah kamu lakukan pekan ini? ? nyuciin baju orangtua,ngambilin buku bu hani ke kantor d... http://ask.fm/a/bn8pbojn ",1
Sering bosan dengan pekerjaanmu di kantor? yuk baca tips untuk mencintai pekerjaanmu. Baca: http://bit.ly/1CRRZ0t  ,1
yang on retweet Jumlah Penumpang yang Refund Tiket di Kantor Lion Air Menyusut http://dlvr.it/8g5ykr  #openfollow ,1
"Makan cabe sebelum berlari membuat lari semakin cepat, karena zat pada cabai membuat adrenalin terpacu.",1
"jangan keseringan pergi ke masa lalu, agar saat masa depan mengetuk pintumu, kau hadir disana untuk menyambutnya",1
sadiiisss !!! jadi inget waktu kita ketemu di purwokerto gan ? ? Sadis by Afgan ? https://path.com/p/cn6nR ,1
"""Hp sama, cincin sama, kalung sama, jangan2 besok alamat rumahnya juga sama"" <~ ada yg komen ginian daritadi bikin mimin ngakak =))",1
5 milayar itu bisa ngasih makan 166 ribu anak yatim 3 kali makan,1
Semua ini pasti berlalu meski takkan mudah ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/LYoYP ,1
tempat nya bersih wangi rapi. yang bikin kecewa AC nya bocor alias rusak jadi kurang dingin,1
Sebuah sekolah di Norwegia tidak memberikan PR untuk muridnya agar lebih memiliki waktu bersama keluarga.,1
"Hai, case hp ku bagus ya Elsa, Let it gooo let it goooo~~~~ @kinalJKT48 ",1
Dompet Dhuafa Sulsel Berbagi Perlengkapan Sekolah http://www.dompetdhuafa.org/post/detail/749/dompet-dhuafa-sulsel-berbagi-perlengkapan-sekolah ? ,1
Afgaaaaaaaaaaaaaaaannnnnnnn ?? ? Kamu Yang Ku Tunggu (with Afgan) by Rossa ? https://path.com/p/47xD5e ,1
#TEAMFOLLOWBACK #TFB #alrasyid448ItuRasya Demokrat niai keputusan presiden beri? http://dlvr.it/8dTP3s  ROH3 SmantiBatam #JFB #AutoFollow,1
"""@lynnda29: Sik asik"" 2RA (Raffi Ahmad & Rezky Aditya) 2RN (Rezky_Nikita & Raffi_Nagita)@nikitawilly_24 @rezky_fjsi """,1
Assiiiikkkk ada RANS di @Pesbukers_antv1! Serasi bgt Ki Dalang @RaffiAhmadLagi & Sinden @Lady6igi pake baju merah-merah bergairah.. :D,1
"Terima kasih cinta, untuk segalanya. ? Terima Kasih Cinta by Afgan ? https://path.com/p/1iSp4 ",1
Cantikmu mengalahlan semua??? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina ? https://path.com/p/1fECEN ,1
"pelayanan baik, ramah, bersih. Sprei sma bantal aja yg perlu di perbaiki, krn warna nya sudah coklat2",1
#Teknologi Demokrat niai keputusan presiden beri kepastian http://dlvr.it/8dTLwl  #Assadiqulhaq,1
Purwakarta Miliki Kantor Kecamatan Termegah di Jawa Barat - http://SINDOnews.com  http://goo.gl/fb/02Ylro  #Purwakarta,1
"Minum air putih setelah makan salad. Dengan semangkuk salad berisi sayuran hijau yang sehat, jangan lupa tambahkan air setelah makan.",1
"menurut saya hal yang paling menonjol di sini yaitu wifi yang super duper ngebut, lancar jaya. bed empuk sprei bersih. handuk wangi, tempat bersih, kecuali toilet sedikit kotor namun tidak jadi masalah. saluran telivisi masih sedikit. AC-nya tidak berasa. penilaian ptibadi saya 8,5/10",1
"Sebelum melakukan hal besar jangan lupa makan besar, biar gak lemes. Hehehe. Selamat Jumatan, ganteng.  #HinggaHariTua",1
Semua baju dan celana Polo diskon 67% http://ow.ly/JeCvN ,1
afgan kata yg penting bakal isterinya jaga penampilan dn plg penting solehah... good3. http://www.wowkeren.com/berita/tampil/00067823.html ? ..@MY_Afgan @ALLABOUTAFGAN,1
"Kamuuu,dikirim tuhan untuk melengkapi ku tuk jaga hatiku ? Kamu Yang Kutunggu (with Afgan) by Rossa ? https://path.com/p/1MvHMz ",1
Purwakarta Miliki Kantor Kecamatan Termegah di Jawa Barat - http://SINDOnews.com  http://goo.gl/fb/IyC39Y  #Purwakarta,1
Teh hijau bisa meredam rasa lapar sehingga Anda bisa melakukan keputusan rasional tentang apa yang akan Anda makan. [The Nutrition Twins],1
"Ni dunia lah bro . People come and go . Kau kena faham tu . Kalau taknak orang pergi, kau kena ada effort . Jangan cepat mengalah .",1
Partai Demokrat dan parpol di Koalisi Merah Putih (KMP) akan mengambil keuntungan? http://goo.gl/fb/qIPiYt  @suaranews,1
Wajahmu mengalihkan belajarku ? ? Ku Mohon by Afgan ? https://path.com/p/KZNUg ,1
F-Demokrat: Keputusan Presiden Beri Kepastian http://bit.ly/1A9IqN0 ,1
Yihaaiiiiii buibu  cantik masih muda  dapet doorprize beginian di family  gathering kantor? (w/ Ocky) [pic] ? https://path.com/p/41MgDX ,1
"Ketika senang ia datang lagi. Ketika sedih ia tak pernah pergi. Perkenalkan, dia ibuku. :)({})",1
"Tolak HAMAS, Langkah Pemerintah Dipuji PDIP http://bit.ly/1KwhWtq  Menko Maritim resmikan destinasi wisata Jalu... http://bit.ly/19NE7gD ",1
Namun kau takkan sendiri ku ada di sini? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/3IhAUj ,1
Syahrini Hanya Kenal Feriyani Lim dengan Nama Fransisca: Syahrini mengaku kedekatannya dengan Feriyani? http://goo.gl/fb/hSASfu  #MedanHits,1
Aaakkk terngiang ngiang bgt ini.. garagara iring? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina (w/ Ratih) ? https://path.com/p/dYiJX ,1
Hidup Golkar! Idrus dan  Yorrys Berpelukan http://bit.ly/1BqqCQa ,1
"Aku rela pergi pagi pulang pagi hanya untuk mencari rezeki,demi memanjakan calon istriku nanti didunia dan di akhirat.. #Ammmiiin",1
Hari ini ada promo diskon 25% untuk makan di restoran Collage Hotel Pullman! http://ow.ly/JFlni ,1
"Cewek yg lagi dirumah. Ngga jauh dari tiduran, mainin hp, dgrn lagu & nonton tv. Dia kalo udh bete bgt dirumah, dia lebih memilih tidur.",1
#Golkar #ARB Rena Nozawa AKB48 tetap belajar bahasa Indonesia http://bit.ly/1LjKjsr ,1
Ikuti Sekolah Sepak Bola untuk Kembangkan Potensi Anak http://bitly.com/1a2JjgO ,1
"Tolak HAMAS, Langkah Pemerintah Dipuji PDIP http://bit.ly/1KwhWtq  Ricciardo sementara tercepat pada uji pramus... http://bit.ly/1vPkARi ",1
Sebuah sekolah di Norwegia tidak memberikan PR untuk muridnya agar lebih memiliki waktu bersama keluarga.,1
"Plus, kamar bersih, tempat tidur yang cukup empuk.pelayanannya cukup bagus. Minus, kamar banyak nyamuknya dan toilet penuh kecoa.",1
Kementelan kali kok 1 kantor tukaran coklat #latepost #palentain ,1
"kamarnya bagus, pertama kali pakai airy ternyata dapet toolkit dan snack juga, cuma wifi hotelnya tdk bisa connect..overall bagus, apalagi diskon 80%",1
"Ragam_Jakarta: Syahrini harus rela berpanas-panasan selama proses pembuatan video musik terbarunya, Seperti It... http://bit.ly/1LlJ6km ",1
"Pulangnya hati"" ya kesayangan @RaffiAhmadLagi jgn lupa istirahat yg cukup mamsee@Lady6igi udh nunggu di rumah?",1
"Ini adalah yg kedua nginep di Airy Anggrek Satu 18. AC lebih dingin dr yg pertama, kamar lebih luas. sayangnya dikasih smoking room, padahal setau saya Airy non smoking semua. jd pertama masuk bau asap rokok. Tapi so far sih seneng2 aja nginep di sini. ",1
Baby Raffi Ahmad Sofian. Idungnya lelaki idaman bingit. Ganteng ya de gedenya ???? [pic] ? https://path.com/p/17XDSk ,1
Makasih kaka penyiarrrrr...?????? ? Seperti Itu? by Syahrini (with Rahmat at Radio Cerya 95.9 FM) ? https://path.com/p/dHKcE ,1
Anies Baswedan: Sekolah Harus Punya Tempat di Hati Anak-anak http://republika.co.id/r/nkd7cn ,1
"Bukan bermaksud menjauh, tapi aku sadar, aku ini bukan siapa-siapa kamu. Jadi, ya mending aku pergi sekalian :')",1
"suatu hari,akan ada saatnya bangun pagi yang dicari bukan hp lagi,akan tetapi tangan seseorang yang sangat kita sayangi",1
kamar kurang bersih .. air nya kecil dan sering mati. banyak nyamuk. area nya berisik. banyak anak anak muda berprilaku kurang menyenangkan. ac lumayan dingin. pelayanan cukup baik.,1
Terlalu cool warnanya buat diinjek2di kantor :( #blue #iloveblue #lifeblue #bluestyle #instablue? http://instagram.com/p/zWu9RbEA_a/ ,1
"Bukan berarti gak boleh sama sekali liat HP/email/sosmed pasangan. Kalau kamu minta izin dan dibolehkan, ya silakan..",1
"lokasi di daerah komplek,. kalau untu kamar yg singel room itu mmg kecil, area untu sholat di kamar terbatas, mungkin kedepannya bisa diganti spreinya soalnya ada noda yg kurang sedap dipandang, tapi secara keseluruhan untuk yg menginap sehari sangat cocok dengan budget minimal, selain itu air panasnya juga ada",1
"Aku suka bila orang tipu aku pasal benda yang aku dah tahu, aku nak tengok jauh mana dia punya bangang boleh pergi.",1
Aplikasi yg selalu kasih promo seru tiap harinya? Yuk update #fiestapoinapps di HP-mu! ,1
"""Cewek"" Bangun pagi - mata belum melek - fokus nyari hp - ngeliat socmed, sms, bbm dll - berharap ada kata manis dari orang yg disayang.",1
Desain gambar mobil sport keren - Yellow Lamborghini Aventador LP720 4 50 Anniversario http://goo.gl/l2VGsg ,1
#Lounge HAnya dengan 35rb Sinyal HP anda bisa full walau pelosok!! Full TESTI http://dlvr.it/8mp3bZ  #Assadiqulhaq,1
Ada restoran bernama 'Heart Attack Grill' di Las Vegas menawarkan makan gratis sepuasnya kpd pembeli yg memiliki berat badan lebih dr 160kg.,1
"Rejeki anak soleh nih dinner sama Romo? (w/ Aryo, Julius, & 2 others at Nasi Goreng Sapi Kantor Notaris) ? https://path.com/p/XwqPL ",1
"tempat tidur nyaman, kamar bersih, ada air panas. pelayannya ramah. kamar mandi bersih. 2 malam yg sangat nyaman. tpi sayangnya tv nya antenanya gak bagus. nyala tapi tv nya banyak semutnya 😅",1
"Tahukah Anda, makan es krim dapat meningkatkan kekebalan tubuh terhadap virus influenza.",1
"pelayannan-nya ramah banget ❤️👍 dan kalau’pun kurang paham mereka menjelaskan lagi sampai kita paham, sarapannya juga enak ,hanya saja sedikit tidak bersih kasur-nya mungkin bisa lebih baik lagi kedepan-nya , AC -nya dingin 👍 ada air hangat-nya juga untuk shower, over all it’s good not bad 😊.",1
Selamat utk adekku Zana Roli Afgan kamu sudah menunjukak sikap kedewasaan dan kebijaksaanan yg hebat. Kamu Pemimpin yg istimewa Salam hormat,1
"Pelayanan baik, tempat nyaman dan bersih  hanha saja wifi sering gangguan. Overall nya sangay nyaman dan bersih.",1
Beli baju kantor kamu yang baru dengan promo diskon 20% di The Executives http://ow.ly/JeDN5 ,1
#Sosok Charles Honoris: Jokowi Lebih Berani Lawan Kapitalis http://bit.ly/1Csp0Bf  Demokrat niai keputusan presiden be...  #ProfilTokohDPR,1
#Google Manfaatkan Angin untuk Tenagai Kantor Pusatnya - #Re http://bit.ly/19oPH1D   #investasi #MountainView,1
"Apabila kamu matahari,, maka aku akan jadi bulan.. Yang memantulkan cahayamu agar bumi tidak gelap setelah kau pergi.. Gitu?",1
"Tepuk tangan paling kencang buat cowok yang pergi saat si cewek sedang cinta-cintanya. Awas, karma.",1
Perpusda Sleman Lakukan Pembinaan ke Sekolah-sekolah http://republika.co.id/r/nkgxdg ,1
"Di Belanda, mereka yang baru lulus sekolah, akan dicarikan pekerjaan oleh pemerintah setempat sesuai dengan bidangnya.",1
"Yang baik itu bangun pagi-pagi, mandi dan pergi menggapai mimpi.",1
"kamar sesuai yg di foto,  sarapan pg ny lmyn,  chek in cpt n ga pk deposit,  kurang ny di gang2 AC gak on,  keran wastafel kluar ny kecil,  yg lain2 ok lah",1
#OpenFollow Demokrat nilai keputusan presiden beri kepastian http://dlvr.it/8dXNX5  #AntaraNews,1
Makan pisang saat sarapan pagi dapat mengurangi rasa marah dan depresi sepanjang hari.,1
Dompet Dhuafa Sulsel Berbagi Perlengkapan Sekolah http://www.dompetdhuafa.org/post/detail/749/dompet-dhuafa-sulsel-berbagi-perlengkapan-sekolah ? ,1
"RT @BeasiswaS1: http://beasiswaindo.com/5239  Beasiswa Penuh, SPP & BPP Pokok STMT Trisakti, mau? :) ~0224",1
PDIP tak akan andalkan popularitas Jokowi saat Pilkada serentak http://nasional.kompas.com/read/2015/02/21/20410381/PDI-P.Tak.Akan.Andalkan.Popularitas.Jokowi.saat.Pilkada.Serentak ? yea right hmmpfftt,1
"RETWEET  dapet DISKON!! Sepatu wanita ,daster murah,baju hijab Invite Pin BB 31406d58 http://www.tatafashion.info  #reseller",1
Kalo afgan bikin konser tunggal gitu kan keren ya. Udah jelas penyanyi trs ada album. Lah ada yg belom apa2 uda konser. Mungkin dia zuper :),1
#aurruz <3 #Afgan Ingin Go International & Duet dengan Adele http://www.aurruz.com/topic/4310/afgan-ingin-go-international-duet-dengan-adele/new/posts/ ? 3:) ,1
"Lagu fav sepanjang masa! Kalau gasetuju, aku gapeduli?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/YflcL ",1
Bidang Perempuan Golkar Makassar Dibekali Ilmu Keprotokoleran - Fajar http://goo.gl/fb/EUPFDo ,1
"Ukuran kamar kecil tapi cukup lah, wifi kebetulan lagi rusak, sinyal sangat susah krn kamar dilantai bawah, kebersihan baik, ac dingin, tv ada n berfungsi. Selimut, handuk, snack, air mineral disediakan. Pelayanan bapak kosnya cukup baik dan helpful.",1
[Nasional] Diskon - Rambut Halus Dengan Shampoo Olive Hanya Rp 45.000 /botol http://gpon.co/nnpvg  ,1
Hai hallo semuaaa ? Makasih untuk hari ini seneng deh :3 Bsk aku cerita di g+ ya hehe Tadi aku pake baju ini ^^ ,1
"pelayanan sangat ramah,kamar pun rapih dah bersih tapi ada sedikit kekurangan di bagian handuk dan selimutnya sebaiknua yg sudah sobek diganti yaa.. thx😊",1
"Stafnya cepat tanggap dan ramah, rasa makanan lumayan, lokasi dekat mega mall, desain hotel antik, cuma sayangnya lantai kamar mandi kurang didesain bagus, kalau mandi air tidak bisa mengalir ke pembuangan, air mandi kurang panas.",1
"#NEWS Sosok Syahrini bisa dibilang menjadi salah satu penyanyi paling laris di Indonesia. Tak heran, Syahrini ... http://bit.ly/1Llofh1 ",1
"?Ketika hidup memberiku seratus alasan untuk menangis, kau datang membawa seribu alasan untuk tersenyum? >> http://bit.ly/1zkUE2p ",1
"Rindu saat? dimana lebih kita pilih pergi dengan saya, daripada pergi keluar dengan orang lain! Merasa dihargai.. :3",1
"Kamar bersih, rapih, semuanya enak, parkiran enak, tempat tidur nyaman, ac dingin, air hangat lancar, tv besar tapi kekurangannya cuma di handuk dan selimut belum disediakan.",1
"Tolak HAMAS, Langkah Pemerintah Dipuji PDIP http://bit.ly/1KwhWtq  Usulan pemerintah, biaya haji 2015 turun http://bit.ly/1LnTeLc ",1
Ada banyak lagu di hp yang mengingatkan gue tentang lo dan semua yang pernah terjadi diantara kita :'),1
"Toh Anda masih bs memilih rumah yg harus Anda tinggali, mobil yg harus Anda kendarai, pakaian yg harus Anda kenakan... Hematlah. #MentalKaya",1
Habib Novel Menyerahkan Diri dan Bermalam di Kantor Polisi - #populer http://bit.ly/1yv9XYV ,1
"Saya respect lelaki bujang yang -basuh pinggan sendiri -kemas katil sendiri -basuh & lipat baju sndiri Kalau ada, saya nk booking satu",1
Raffi Ahmad Dan Olga Syahputra Diramal Makin Eksis - Obsesi 19 Februari 2015: http://youtu.be/UjfYJCrlCfo?a  melalui @YouTube,1
Pap foto yg menurutmu paling bagus? ? Bukan paling cantik tapi adanya di hp cuma ini:3 http://ask.fm/a/c0874fi8 ,1
@JANJISUCI_TTV: waah @Lady6igi soswit banget deh nyuapin suami tercinta @RaffiAhmadLagi  by @thiaa_13,1
Makan yang Halal dan Thayyib ya HC'ers :) ,1
Si Engkoh variasi mobil Cibubur ini baik budi. Ngasih makan dan obat ke tunawisma. Rendah hati & tdk marah2 ke anak buahnya.,1
"Fasilitasnya lumayan lengkap ada air panas, tv, snack, AC, dan peralatan mandi, kasur empuk, parkiran tapi yg kurang itu sarung bantal yg warnanya kusam jadi terkesan usang dan kotor, cat tembok yg mulai mengelupas dan selimut yang tipis....overall lumayan bagus untuk harga segitu kedepannya mungkin lebih ditingkatkan lagi untuk fasilitas kamarnya",1
"@RaffiAhmadLagi senyum istrimu @Lady6igi menarik hati, jagain dr para kumbang2 haha ",1
"+ kamar cukup luas, terjangkau, sarapan bervariasi, ada kulkas+teko air pns, hot shower, ac dingin, lokasi strategis, lift - channel tv sedikit, ada liat kecoa kecil 1, hari 1-2 ga dpt snack, hari 4 ga dbersihkan n ga dpt mnm+snack, kalo panggil housekeeping lamaaaaaaa but overall bagus, akan mnginap lg dsni krn kmr bsr, bersih, murah, srpan enak",1
Cita-cita Raffi Ahmad Sejak Kecil - http://KasaKusuK.com  http://shar.es/1WfAgg  via @sharethis,1
Seperti ini mobil pintar yang akan dirilis oleh Apple! http://ow.ly/Ju9fo ,1
"JANJISUCI_TTV: waah... @Lady6igi coo cwiiit bingiiiit deh nyuapin @RaffiAhmadLagi ..  Mlmini pkl 18 di TRANSTV""",1
"Jikalau cowok yg kamu inginkan adalah yg suka mengajakmu jalan2 naik mobil lalu ke mall dan cafe, lalu? http://instagram.com/p/zWs6FElP5X/ ",1
"Terkadang lbh baik untuk melepaskan seseorang pergi, karena dng cara itu akhirnya km menemukan dirimu kembali. -@WilzKanadi",1
DISKON! BEST SELLER BGT! DIOR SYAHRINI  Normal Rp 145.000 Diskon jadi Rp 125.000 KUALITAS SUPER FREE HARDCASE & LAP ,1
"Selalu ada kekhawatiran terhadap cewek yg ditinggal pergi sama cowoknya, dalam hati ngomong ""Dia lagi apa ya? Sama siapa? jaga dia Tuhan"".",1
"[Nasional] Diskon - Cincin Perak Batu Garnet Gold Plating 18 Karat, Dengan Motif Jantung... http://gpon.co/8bian  ",1
""" Sosok Syahrini bisa dibilang menjadi salah satu penyanyi paling laris di Indonesia. Tak heran, Syahrini pu... http://bit.ly/1AWvZ9H  """,1
"Di Finlandia, pendidikan dari TK sampai S-3 adalah gratis, bahkan dapat makan siang gratis.",1
"""Hargai dia sebelum dia pergi."" ""Hmm, siapa? Kekasih hati ke?"" ""Ibumu.""",1
Pemasok Mobil 'Pede' dengan Mobil Listrik http://bit.ly/1DjKzWy ,1
"Yeee,gw udah punya lagu Aa @RaffiAhmadLagi yg ""terbaik untukmu"" ",1
"Suka&cukup nyaman selama 2 mlm di guesthouse ini.. Service memuaskan, mau apa2 pasti disiapkan,air hangat ok.. Pas bgt dapat bagian depan yg ada balkon mungilnya. Yg perlu diperbaiki sinyal wifi aja, kurang lancar.. Tapi kawasan otten pakai kartu 3 sinyal4G nya ok bgt. Tq @iry",1
"Terima Kasih atas Fasilitasnya. Kamar Mandi (Air Panas) Ok. Tempat Tidur Ok. Lemari Ok. AC Ok Snack Ok. Tempat Strategis, dekat swalayan & tempat makan. Parkir Motor ada, tapi sempit. Wifi Lumayan. TV Sinyal sering kabur. Alat Sholat kurang lengkap, hanya tersedia Sajadah. Pintu Gerbang Komplek buka jam 05:00 s/d 23:00 wib.",1
Morning @RaffiAhmadLagi @Lady6igi jumat berkah buat kita semua,1
Aku janji nggak akan pernah pergi dari dia! sesulit apapun hidupku dengan dia atau sebenci apapun dia denganku. :),1
"#Golkar #ARB Banyak member ""lulus"", AKB48 ingin terus berjaya http://bit.ly/1vO2FdG ",1
"Tolak HAMAS, Langkah Pemerintah Dipuji PDIP http://bit.ly/1KwhWtq  Kunjungan wisatawan asing ke Bali meningkat http://bit.ly/18abNEB ",1
Sudirman Masih Calon Kuat Ketua DPC PDIP PPU - Tribun Kaltim http://goo.gl/fb/6jVgA4  #penajampaserutara,1
"Skrng sekolahny udh bagus, dlu pas jaman aku atapnya masih bolong2, anak2 nya masih ad yg pake sendal k sekolah, terus satu bangku 5orang",1
"Mendikbud: Sekolah yang sekarang diberikan kepercayaan untuk menentukan kelulusan, diharapkan memegang kepercayaan tersebut",1
"Raffi Ahmad itu Unlimited,Istimewa,Ganteng,Rajin Menabung,Sholeh,Tdk sombong yeaaaah tepat sekaliiii ?? #TheBlusukan",1
"Liat konser afgan d trans7 jdi teringat masa kepo liat afgan di tiara sampek tejongkok"" sama pika? (w/ Bagus) ? https://path.com/p/1CAPd6 ",1
Sebuah sekolah di Norwegia tidak memberikan PR untuk muridnya agar lebih memiliki waktu bersama keluarga.,1
"#Golkar #ARB Usulan pemerintah, biaya haji 2015 turun http://bit.ly/1LnTeLc ",1
"Tolak HAMAS, Langkah Pemerintah Dipuji PDIP http://bit.ly/1KwhWtq  Film ""40 days in europe"" cari bintang http://bit.ly/1F79hJ9 ",1
Sahabat itu dia yg slalu menemani kita disaat susah maupun senang. Bukan yg datang hanya disaat kita senang lalu pergi disaat kita terpuruk.,1
Makan produk kacang semenjak bayi dapat mengurangi risiko alergi secara dramatis http://ngi.cc/n4N3 ,1
#NowWatching Mas ganteng yg menemaniku sabtu malam ini ? Betapa Aku Cinta Padamu by Afgan ? https://path.com/p/2uS25y ,1
